global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
4247.2186055895845	n/a	18038865.883666333	n/a	3799.780420755287	n/a	n/a	14438331.245955229	4230.487745028823	n/a	n/a	17897026.560839057	4106.468356245828	3153.0231690623546	n/a	n/a	n/a	n/a	-0.097084577	0.0178843792	-0.0439250866	0.0826830822	-0.0670257808	0.0085138808	-0.0704240594	0.0203555238	-0.0385846601	0.0773658128	-0.0374680471	0.0634693092	-0.0103421415	0.0155470285	-0.0551016748	-0.039167568	0.062569911	-0.0285061445	0.0980094012	-0.0122531687	0.0037045492	-0.0538650514	-0.00381317	0.1537674077	-0.0655088489	0.0438709949	-0.115779254	0.0172146236	-0.0281526272	0.03547952	-0.0447329398	0.0554632775	-0.0420654885	0.0261443389	0.1313503589	-0.035355173	0.0415779689	-0.0681818143	0.0925643096	-0.0299561511	0.0372105038	-0.0059907001	0.0095502688	-0.0475162351	0.0070183096	-0.0108467278	0.1131708084	-0.1562349813	0.0063436301	-0.0443266327	0.0858116889	-0.0597852175	-0.1232697375	0.1483606318	-0.0439337624	0.0368568149	0.0665503478	-0.0818905998	0.0273688317	-0.042561329	0.0805949835	-0.007444635	0.0025748446	-0.1553755566	0.0457448846	-0.0837668976	0.0361174534	-0.1258051698	0.0410278048	-0.0454305145	0.0539713753	-0.0516345559	0.0247730549	-0.0034133299	-0.0661684315	0.0416978376	-0.0204825997	0.1671780345	-0.0547214125	0.0432639676	-0.0079614726	0.0076069384	-0.006988468	0.1083075571	-0.060718779	0.1155688495	-0.0192144218	0.0165022026	-0.0512404568	0.1201217399	-0.1047565575	0.0443133269	0.0053001219	-0.1186736475	0.0475752442	-0.0759114015	0.0524750625	-0.1256009171	0.1087719953	-0.0046193138	-0.0844504419	0.0238679829	-0.0163511903	0.0621332256	-0.1304926092	0.0678080564	-0.0786880142	0.0894603137	-0.0794442141	0.0265049403	-0.053414464	0.0191228674	-0.0185217348	0.0120754198	0.1054052417	0.105393201	0.1053731342	0.1053450429	0.0100329545084036	n/a	0.0001006601761676	n/a	-0.0435542022583206	n/a	n/a	0.0018969685343586	0.0987396311815587	n/a	0.0097495147658702	n/a	-0.0010889308259634	n/a	1.1857703437333326e-06	n/a	-0.0001854079199785	n/a	3.4376096790753855e-08	n/a	0.0007488994036006	n/a	n/a	5.608503167133344e-07	0.0	0.0	0.0
4243.360444592368	-3.858160997216146	18006107.862731144	14.885406280439886	3798.5719354468656	-1.2084853084215863	1.4604367406708172	14429148.748764548	4224.973336860315	-5.514408168508453	30.40869744891275	17850399.697180584	4101.524395320063	3163.6600544452667	1.05596	13.195689	0.03238457127766	0.0181608341518444	-0.1003708862	0.0079731644	0.0971120042	-0.0609707115	0.011302208	-0.1011033104	0.0214040742	-0.0344793832	-0.0789009081	0.0864174604	-0.0393402193	0.041875875	-0.0144670258	0.0214297567	-0.1260770323	-0.0894464168	0.0412133522	0.0001432876	0.0605934382	0.0931429755	-0.1242868721	0.0425332766	0.0959408315	-0.0127334006	0.0156510026	0.0077246524	-0.1154574044	0.0971285842	0.0928774103	0.0283676567	-0.107085575	0.1093509108	0.0137230191	0.0663025744	0.0271944672	0.044092643	0.0173315978	0.0681104621	-0.0441295894	-0.0939728711	-0.0669619682	0.0892370223	0.0395907379	0.0107151768	0.0472321683	0.087317949	-0.0693291193	-0.0974869451	0.051111253	0.0929437644	0.0114281672	0.0436405675	0.0184011458	0.0971302043	-0.0796522775	0.0670360586	-0.0553679979	0.0199917788	-0.0341020856	-0.1373703855	0.1314156148	-0.0267006461	0.0549054717	-0.0013268129	0.0777302079	0.0425284002	0.0425519586	-0.0700587246	-0.0552970754	-0.0686258078	-0.0076996212	-0.2018963733	0.0303936185	-0.0588709275	-0.0007052861	0.0411520725	0.005718135	0.0613464314	-0.0066873689	-0.0077156937	-0.0819876835	0.1022951852	-0.0666584259	-0.0630366178	0.0042492065	-0.0678764846	-0.0577010129	0.0367815563	0.0770168796	0.0005806586	-0.1099378228	-0.0138014226	-0.0209100838	0.0662354843	0.0800002411	0.0092688849	0.0444065402	-0.1504779523	0.2104770221	0.0047616315	-0.0577811034	0.0865995833	0.0284834212	-0.0577604539	-0.1932631524	0.0114862644	0.0177169721	0.1098023969	-0.0774508291	-0.066037173	-0.0341413941	-0.0975980117	0.0484533059	0.0307790445	0.1053731342	0.1052647956	0.1050843138	0.1048318124	0.0129206594559718	0.0028877049475681	0.0001669434407771	8.338839864209854e-06	-0.0560658370322784	-0.0125116347739578	0.0001565410047169	0.00314337808213	0.1064913774102223	0.0077517462286635	0.0113404134627264	6.008956959360022e-05	-0.0010889997734367	-6.89474733001072e-08	1.185920506545184e-06	4.753754074468995e-15	-9.078305895915406e-07	0.0001845000893889	8.241563793981243e-13	3.404028298451521e-08	0.0007490000732878	1.0066968719995695e-07	1.0134385920937174e-14	5.610011097851298e-07	0.0	0.0	0.0
4242.798130821493	-0.5623137708753347	18001335.978902355	0.3161967769160385	3790.924195071301	-7.647740375564808	58.48793285204415	14371106.25277699	4225.99896581849	1.02562895817573	1.0519147598486336	17859067.25909895	4101.496784938512	3139.939791050824	1.050165	13.123274	0.0801509146639745	0.0564676086728886	-0.0750856509	-0.0079479469	-0.0715945966	-0.0498260326	0.0462276157	0.0493939055	0.0511661428	-0.0482556951	-0.078772003	0.0924867672	0.0683896282	0.099316231	0.1755236677	0.0301901258	-0.0070722529	-0.0843464643	0.063165037	0.0161106028	0.0614277922	0.0515141622	-0.0420518335	0.0562812888	-0.0890290437	0.0228971701	-0.0168605647	-0.0170108086	-0.0325424309	0.1926221538	-0.0241701681	-0.0096576913	-0.2321896161	0.0204387417	-0.0887878089	0.1483740084	0.0629926337	-0.0046384386	-0.0419169787	0.0264315284	0.1229876134	-0.0243510728	0.1143209552	0.0542793209	0.0735159498	-0.0115439966	-0.1093059046	0.0111148121	0.0910408877	0.0192357542	-0.0614721384	-0.0571229725	0.0099938832	0.0289631436	0.0047289653	-0.0545991583	-0.0861261221	0.0437134923	0.0442529749	-0.0283106454	-0.0921094943	-0.0115352491	-0.0196226722	0.0781464275	-0.0276856896	-0.100637204	0.0684613807	0.0949418336	0.0260334552	-0.1292294627	-0.0459693518	-0.0474587451	0.0994514254	-0.2768594212	0.0227247429	0.054639539	0.0099217945	0.0547399981	0.0567070724	-0.0080573251	0.0389228346	0.0973229921	0.0113832602	-0.0345482231	0.0478562193	0.0528135971	0.0192776872	0.0773518894	0.062106942	0.0975011464	-0.0783710667	0.0161615988	-0.0719420825	0.0124604898	-0.1172952885	0.0295840833	-0.0277732201	-0.073608786	0.09453653	-0.0632773335	-0.0535314356	-0.1510014089	-0.0860154437	0.032573919	0.0846288456	0.0562795609	-0.1448632519	0.0578269254	0.0192633409	0.1259555295	-0.1139684326	0.0024329073	-0.0507801135	-0.0031078424	0.0289789617	0.0337586382	0.1053089291	0.1050081413	0.1045074645	0.1038078519	0.0122146640745484	-0.0007059953814233	0.000149198018454	4.984294785911706e-07	-0.0123218851398831	0.0437439518923953	0.0019135333271641	0.0001518288534004	0.0707904100200664	-0.0357009673901558	0.0050112821508091	0.0012745590725929	-0.0010889997734367	0.0	1.185920506545184e-06	0.0	-9.078305895915406e-07	0.0	8.241563793981243e-13	0.0	0.0007490000732878	0.0	0.0	5.610011097851298e-07	0.0	0.0	0.0
4240.777771903593	-2.020358917900012	17984196.110671602	4.081850157138107	3800.82049805668	9.896302985379409	97.93681277842936	14446236.45844783	4229.363554200129	3.364588381638896	11.320454977859445	17887516.07359635	4106.062518823926	3153.723139015111	0.995785	12.44372	0.036801956434715	0.026885262299736	-0.0738208299	-0.0089615275	0.0460891906	0.0664319287	-0.0060001836	-0.0171129272	-0.0748176815	0.0158745905	-0.0183510148	0.1003706323	0.0199035547	0.1044038258	-0.0588193613	0.1302042492	-0.0755517158	-0.0262015065	0.0346338552	-0.0149983815	0.0561597875	-0.0613313467	-0.1073678992	-0.1381024723	-0.0316098333	0.0410537628	-0.0093557975	-0.086353478	-0.0986604153	0.031871046	0.1030840231	0.0126129094	0.014923096	-0.0245799278	-0.0319167177	0.0693734215	0.1705520672	0.1056566248	0.0327237618	-0.1443206893	0.0287190013	-0.0336712461	-0.0308058255	0.0069293772	0.0678613663	0.1436613205	0.0401983943	0.0896413753	0.058599269	0.0964370124	-0.1318421507	-0.1020106622	0.0736847867	-0.1198161045	-0.0343258684	0.1243974724	-0.0194746174	0.0278378182	0.02302428	-0.0581114189	0.0812434707	-0.0683490108	0.0955935087	0.1351491175	0.1265589776	-0.0999258638	0.0425533807	0.0131553564	0.0240916379	-0.0608620505	-0.0953835172	-0.0631322471	0.0607426845	0.0275304549	0.0127908065	0.0010258514	-0.039235776	0.1193741985	-0.091283692	-0.0154221066	-0.1086738263	0.0225605996	0.0447303243	-0.0539828053	-0.1560399767	0.1314286124	0.0197407764	-0.002698878	-0.1597156214	-0.0230815527	-0.0490784937	0.0397337644	-0.0837129605	0.0019683169	0.0091944933	-0.0859806255	0.0728499717	-0.050212259	-0.0057927578	-0.1022414119	0.1259194548	-0.0887913749	-0.1211540099	-0.0647385673	0.0632271176	0.0323904041	-0.1191926045	0.0225080979	0.012823031	0.0999015386	-0.0520534611	-0.0038622361	0.0364420292	-0.0359595155	0.076295663	-0.0038287081	0.1052126458	0.1046235507	0.1036441676	0.10227815	0.0175906330538566	0.0053759689793082	0.0003094303712354	2.890104246648405e-05	-0.0380378769852995	-0.0257159918454164	0.0006613122365935	0.0014468800855487	0.0765004056300568	0.0057099956099904	0.0058523120615632	3.260404986610965e-05	-0.0010889997734367	0.0	1.185920506545184e-06	0.0	-9.078305895915406e-07	0.0	8.241563793981243e-13	0.0	0.0007490000732878	0.0	0.0	5.610011097851298e-07	0.0	0.0	0.0
4241.284081447542	0.5063095439491008	17988490.65954032	0.2563493542939464	3782.0145817645584	-18.805916292121765	353.6624875862908	14303634.296679748	4229.44604093637	0.082486736240753	0.0068040616556515	17888213.813192334	4105.285465337247	3130.146350838921	1.008136	12.598061	0.0744377445968194	0.0359649478872749	-0.0927927371	-0.0424388075	0.082054798	0.060144574	0.0738400983	-0.0512155567	-0.0620336167	-0.1236540904	-0.0480926965	-0.0621548778	-0.0201805177	0.1139879769	0.1143959784	0.1695786595	0.1273657606	-0.0309679374	0.1147717145	0.0170005318	-0.0222144314	-0.0684487646	-0.0400909342	0.1960806771	0.0259348793	0.0557038858	-0.0441941079	-0.1163284184	0.0257999864	-0.0977320239	0.1061602337	0.0003193332	-0.1324222582	0.0528818171	0.0371148085	-0.1920203973	-0.0152149658	-0.015458554	-0.0368025371	-0.0087688868	0.1148289392	-0.0028222854	-0.0305809941	0.0455593405	0.0193211659	-0.0283593494	0.0845135631	-0.0964446587	0.0464944068	-0.0012016131	0.0902982347	0.0698925538	-0.0789777711	-0.0590800131	0.0087632654	0.0240759332	-0.0346115448	0.0921649992	-0.0592152597	-0.0055224153	0.0679640261	-0.0458597341	-0.0405691654	-0.0194668286	-0.145980095	-0.016859338	0.1593030383	-0.0537175468	-0.0404623265	0.129329782	-0.0802716691	0.072908558	0.1104260901	-0.0906938581	-0.1541724943	0.1196381432	0.0037360751	-0.1231447091	-0.0935552169	0.0761758209	-0.0303488769	0.0482603947	0.0083941746	0.1444721709	-0.0353800838	0.0277166779	0.0134719376	-0.0042988228	0.2171387319	0.0114647138	-0.0534198728	-0.0565860451	-0.0812356512	-0.0493829427	-0.0243170113	0.0171660044	0.1294385051	-0.0047505602	0.0259976919	-0.0030001973	-0.0506109631	-0.1060197766	-0.0172303298	0.1258722016	0.0445888044	0.1052500878	-0.1278339129	0.0361793121	-0.0442176339	0.062988643	-0.0101649699	-0.0260475207	-0.1302870692	0.0051277996	0.0579533818	0.059316274	0.1050843138	0.1041114925	0.1024967892	0.1002501592	0.0241286594942522	0.0065380264403955	0.0005821922089895	4.274578973531193e-05	-0.0067011372259457	0.0313367397593538	0.0009819912587454	4.490524012095523e-05	0.0739879045440972	-0.0025125010859596	0.0054742100188264	6.312661706948173e-06	-0.0008819317889112	0.0002070679845255	7.778036802921095e-07	4.2877150215452745e-08	-0.0002587350512215	-0.0002578272206319	6.694382673059221e-08	6.64748756987748e-08	0.000532885732223	-0.0002161143410648	4.67054084138727e-08	2.839672036068428e-07	0.0	0.0	0.0
4252.662011721512	11.377930273969469	18085134.18593925	129.45729731931095	3790.8329889381744	8.818407173615924	77.7643050796808	14370414.750021933	4231.745472011282	2.2994310749118085	5.287383268270076	17907669.739887986	4104.133763800954	3183.587243491953	1.147618	14.341086	0.05187570449332	0.026213317233597	-0.066759745	0.0559151278	-0.0495869204	-0.0877970199	0.0735861	0.0456429241	0.1264792585	-0.0250420397	-0.0658689129	-0.0188727176	0.0443253096	0.1663556727	-0.0635378435	0.0961601652	0.0446166242	-0.0065026263	0.0477690842	0.0218582982	0.0886421062	0.1643273031	-0.050572484	0.0022199989	-0.1095041289	-0.0629169144	-0.0740018883	-0.0668987535	0.0039104589	-0.0905255596	-0.0529584108	0.035593494	-0.0220423773	-0.076492806	0.0178043287	-0.084126891	0.0581205607	0.0856269307	-0.0632951454	0.0128588457	-0.021268169	-0.0291867446	0.0373907913	0.0749482422	0.0343988582	0.073409705	0.0111660739	0.0514182982	-0.0862169261	0.0859994138	0.0615437584	-0.1463930301	0.1559144641	-0.0276782712	-0.0996655895	-0.1025905297	-0.0176259749	0.0503227984	0.0291449827	-0.0027149425	-0.1690094591	-0.0877163992	0.0093529131	0.1231884598	0.0182727828	0.0029510774	0.0327579451	-0.010272718	-0.1764861096	0.0071484118	-0.0318955598	0.0794821464	-0.0087476241	0.031284434	-0.0314259055	0.0101451531	0.0040056702	0.0189405081	-0.0992826722	0.0325271124	0.0478786316	0.0053256717	0.0949647669	-0.0553068526	-0.0712297856	0.0277327645	0.0629800499	-0.0169948961	-0.1154611645	-0.0218214639	-0.0634892054	-0.115764049	-0.0732646464	0.035011607	-0.0748792482	0.0386325343	-0.0350705269	-0.0394282985	0.0998207881	-0.0853466743	0.0356455747	-0.0583499888	-0.0203371046	-0.0478471945	0.0754645514	-0.030895629	-0.1175449388	-0.0481694949	0.0122938013	0.0874466305	-0.0110316115	0.0581294401	0.0032119453	-0.0246205371	0.0531645488	0.0129145897	0.104923972	0.1034725904	0.1010684743	0.0977337597	0.0123520875852989	-0.0117765719089532	0.0001525740677148	0.0001386876459267	-0.0277060540490765	-0.0210049168231308	0.0004412065307466	0.0007676254309703	0.0677702940251663	-0.0062176105189309	0.0045928127522574	3.865868056512031e-05	-0.0007819496553777	9.99821335335e-05	6.114452635453038e-07	9.996427025910625e-09	-0.0001672337881135	9.150126310799998e-05	2.7967139886791016e-08	8.372481150359437e-09	0.0005989344404276	6.604870820459997e-05	4.362431855496392e-09	3.587224639303223e-07	0.0	0.0	0.0
4245.46932869824	-7.1926830232714565	18024009.820917487	51.73468907325742	3814.059824748212	23.226835810037755	539.4859017464522	14547052.346758362	4237.1689954159865	5.423523404704611	29.414606121378693	17953601.09571452	4113.411504686913	3156.952216126702	1.094241	13.674061	0.0880781044963954	0.0439154269770766	-0.0669639635	-0.0145216156	0.1055327936	0.0875093717	0.0426662012	-0.0293749946	-0.0971281709	0.0549445031	0.0228660125	0.0381546237	0.0289734074	0.1162281627	-0.0037208097	0.0439991062	0.0639133726	0.050703621	0.057137095	0.089432175	-0.0513492666	-0.0595661379	-0.0280378131	-0.0264234902	0.0295454424	0.0378165671	-0.0720289775	-0.059785408	0.0592705183	0.0302933239	-0.0684367218	0.0781429369	-0.0674476465	-0.0401000688	-0.0402057661	0.0712470468	-0.0653889895	-0.0284910457	0.0427087453	-0.1592982155	0.0931815667	-0.1006055394	-0.0104184873	-0.0487657165	0.0429328242	0.0717935118	0.0299792684	-0.0771204876	-0.0333090609	0.1184305119	-0.0403195841	-0.1330060739	-0.0148364751	-0.031848572	0.0653054338	0.1117448529	0.0567746692	0.0403884202	-0.0473536839	-0.1032700835	0.0873223669	0.0253100653	-0.0023829585	0.0832199012	-0.0583072703	-0.0334091536	0.0109564288	0.0267162188	-0.042508997	0.0067597486	0.002827603	0.0077812032	-0.0682168677	-0.0317654984	0.0040005001	0.0432641455	0.046672114	-0.0152603918	0.0425771554	-0.0122853102	0.0109675108	-0.0231272863	0.0185928232	-0.2256056046	-0.1004902003	0.1202606194	-0.0686845675	-0.043911153	-0.1087324208	0.0243414439	-0.0965755721	-0.075176601	-0.0549787951	-0.008738556	0.0398486792	-0.0237039654	0.1305325166	0.0033674277	0.0245034409	-0.0233607811	-0.1307851257	-0.0848899969	0.003464031	0.0050482906	0.0464699596	0.0331220353	-0.0267500258	0.0871026382	-0.0014517849	-0.0181235308	0.0462435338	-0.0342288037	-0.0295667018	-0.0068930221	0.0301648103	0.021252761	0.1047316694	0.102707623	0.0993631376	0.0947412111	0.0162693365388832	0.0039172489535843	0.0002646913114154	1.5344839364357293e-05	-3.7351530181695125e-05	0.0276687025188948	0.000765557099079	1.3951368069140816e-09	0.0365774541320007	-0.0311928398931655	0.0013379101507786	0.0009729932606006	-0.0006160002098824	0.0001659494454953	3.794562585751609e-07	2.753921846019756e-08	-1.31208113485215e-07	0.00016710258	1.7215569044349057e-14	2.7923272242661346e-08	0.0004260002033079	-0.0001729342371196	2.990625036817262e-08	1.814761732183721e-07	0.0	0.0	0.0
4241.404921191521	-4.064407506719363	17989515.70550765	16.519408380676705	3800.505776033823	-13.554048714388957	183.71223655202888	14443844.153666452	4234.36038219395	-2.808613222036911	7.888308231000558	17929807.84629369	4109.782402252483	3133.529675743797	0.996294	12.450081	0.0600082414940251	0.0320320737927507	-0.0698015879	-0.0341727207	-0.0425865521	-0.0537786819	0.0565259552	-0.0282617674	0.0959045287	-0.0153609043	0.0007335651	0.0366227521	0.0381595059	0.0705299018	-0.0238424046	-0.0478197734	-0.016244758	-0.0008996528	-0.0235941028	0.0920953903	0.0398798445	0.1210430837	0.0079660234	0.0385703098	0.0508397052	0.0166140015	-0.1260020567	0.0612534107	-0.0066251544	0.0630620724	-0.0365944051	-0.113057532	0.0374672861	-0.0231627841	-0.0894593632	-0.0243571515	0.001751447	0.0824494838	0.1861181227	0.1363569831	0.039675632	0.0474033239	0.052213791	0.1296962603	0.0899100454	-0.1518836949	-0.0727903244	-0.064957536	0.0029861158	0.0120874189	-0.0471502297	0.0048468958	-0.1216167124	0.1174720264	0.0317237489	0.0295860657	0.0122750249	-0.0097164696	-0.0443562115	-0.0399238694	-0.1094437534	-0.0405028979	0.0184776616	0.0121688865	-0.0617704287	-0.0419644374	0.0436198826	-0.0522896731	-0.0416478274	-0.0219770864	0.0644432601	0.0679293047	0.0577525111	-0.0481971589	0.0768886824	-0.1038582738	-0.1636409358	0.059397432	0.1839863433	-0.0232003926	0.1213923656	-0.0012578834	-0.1523844359	0.0728188846	0.0104011298	0.0454562059	-0.012975566	0.0547598691	0.0630835113	0.020225585	-0.0178987508	-0.0225841315	-0.0535673672	0.0283585077	-0.0972568488	0.0144632967	-0.047693303	-0.0418553584	0.0713397392	-0.0582118629	-0.0639021175	-0.0226289712	-0.0235819526	-0.002133606	0.0948887138	-0.0423329961	-0.0762819088	-0.0136586727	0.0652919554	0.0133851415	-0.0131921166	-0.0114893329	0.0470212975	-0.069357723	-0.0306514215	0.0013649272	0.1045074645	0.1018175221	0.0973854535	0.0912870929	0.0128424555787063	-0.0034268809601769	0.000164928665291	1.1743513115222951e-05	-0.0251550928293085	-0.0251177412991268	0.0006309009279698	0.0006327786952511	0.052887703541657	0.0163102494096563	0.0027971091859101	0.0002660242358051	-0.0009060001831422	-0.0002899999732598	8.208363318537e-07	8.409998449068473e-08	-1.9886704238913921e-07	-6.765892890392422e-08	3.954810054860369e-14	4.577730660426272e-15	0.0004389999676205	1.29997643126e-05	1.6899387218314858e-10	1.9272097157080007e-07	0.0	0.0	0.0
4246.490063688649	5.08514249712789	18032677.861006424	25.85867421609608	3794.0149183158414	-6.490857717981726	42.13123391508294	14394549.20040316	4230.341141316429	-4.019240877521042	16.15429723153612	17895786.171914384	4106.063424572607	3123.0449394963	1.077554	13.465541	0.0668546295174472	0.033875056534042	-0.0642448195	-0.0439095748	-0.0259975201	0.1226152536	0.0657938187	0.0550414681	-0.1297373619	0.0328230691	-0.013209138	0.0039125136	-0.0218212304	0.0700116948	0.0328717118	0.1088714129	-0.0545130859	-0.0235288206	0.0563694522	0.0029671231	0.0253752225	-0.1009976622	-0.0396459144	-0.0919466266	0.0429770061	0.0424325982	-0.0865998234	0.0521293283	0.0489437254	0.0227119093	-0.0193950365	0.0930285714	0.0561462323	-0.0901618357	-0.109724579	0.0078700064	0.0167008028	0.1165549952	-0.1088817595	-0.084093251	-0.094672704	0.0769458772	-0.0460784542	0.0792483882	-0.0461261319	-0.0252787698	-0.0324177579	-0.0483654487	0.0343314934	0.178226943	-0.0133419076	-0.1191332323	-0.051633233	-0.0529804262	0.0819455343	-0.1557217807	-0.0299214814	0.0226179653	0.0273402951	-0.0959608819	0.1140897555	0.000820667	0.0642072486	0.0570225707	-0.0462397804	-0.0316298844	-0.0972583424	-0.0764490409	0.0163214575	-0.0707942938	-0.043013087	0.0591000869	-0.0654525027	0.0732367551	-0.1357208709	0.0971917912	-0.0445462051	0.1026255767	0.0548396621	-0.1154554868	-0.0566107138	-0.083498638	0.0718465253	-0.023263152	-0.01164938	-0.1025153303	0.1174869353	-0.0796428134	-0.0450397705	0.0065062979	-0.1885631553	-0.1116739902	-0.0450635738	-0.0360785421	0.0049881949	-0.0706453503	0.0895397853	-0.0604993029	-0.0188004464	0.0358299547	-0.0308843214	-0.0880217939	0.0418614316	-0.0820732837	0.0186324265	0.1068754071	0.0018379558	0.0711773767	-0.0525565761	0.0097377922	0.0520307751	0.0489195809	-0.0042440554	-0.0503604152	-0.0983083588	0.0155221831	0.1042514257	0.1008033722	0.0951408427	0.0873882332	0.0197741313936745	0.0069316758149681	0.0003910162723743	4.804812960381504e-05	-0.0039458406710792	0.0212092521582293	0.0004498323771113	1.556965860154275e-05	0.0418800455732366	-0.0110076579684203	0.0017539382172163	0.0001211685339497	-0.0003889999738258	0.0005170002093164	1.513209796364731e-07	2.672892164332015e-07	-7.818899350198194e-08	1.206780488871573e-07	6.113518704852974e-15	1.456319148321112e-14	0.0004019999834692	-3.699998415129997e-05	1.3689988271964486e-09	1.616039867092371e-07	0.0	0.0	0.0
4249.595930130657	3.1058664420079367	18059065.56938304	9.64640635559104	3791.868224852535	-2.146693463306292	4.608292825401962	14378264.634646315	4229.082185432092	-1.2589558843365012	1.5849699187055015	17885136.13113908	4104.726473677142	3191.6718145283785	1.143236	14.286324	0.0512077663080906	0.0238078694957938	-0.0384097442	0.048307948	0.0294508676	-0.108091919	0.0431165396	-0.0684932371	0.0863654189	-0.044230757	-0.0438128818	0.0301312037	-0.0397910393	-0.0215962006	-0.0470345626	0.0110913045	-0.0515972463	-0.0197125154	0.0137775554	-0.0555223659	0.0243722095	0.0983829248	-0.0178008602	0.0648288544	-0.0789153427	0.0482127157	0.0412381798	-0.0361556564	-0.0092819047	0.0079450462	0.0168031991	0.103128548	0.1580715132	-0.0224231744	-0.0515364491	0.1319284728	-0.027547153	-0.0071254064	-0.0304097486	0.0625005883	-0.0209292553	0.055486715	-0.0355606783	-0.0612823894	-0.2053908173	-0.0037189873	0.0116779342	-0.0458394974	0.0754286485	-0.0764994526	-0.141147936	0.0409932968	-0.0564662901	0.0494417897	-0.0063878447	0.0168836782	-0.0193073247	0.0381037066	-0.0029337384	0.0835260183	-0.0604989755	-0.0764488613	0.0246400578	-0.048659038	-0.0128928353	-0.0923177901	-0.0262544618	0.0147298147	-0.0228991904	-0.003134453	-0.0357357267	-0.1671538189	-0.0541622537	0.1143235025	-0.0506329956	0.0105770015	0.1102481487	0.0622208212	0.0846773561	-0.0798674232	-0.0250132825	0.0348996143	0.041449894	0.0608603559	0.1299237918	0.03134165	-0.020718025	-0.0760700144	0.0450952707	-0.0038109076	-0.0233872561	0.1482595875	-0.0429968108	0.0149831344	-0.0155072049	0.075984883	-0.0068773379	0.0270035002	0.0468400785	-0.0366671178	0.030861267	0.1071589346	-0.0348788005	-0.0097437236	0.0854075902	0.0120381429	-0.017259694	0.0315370486	-0.1080311577	-0.0485825892	0.1065588785	-0.0090729416	-0.0399086879	-0.0763672926	0.056662604	0.0095854925	0.1039636308	0.099666409	0.0926354574	0.0830636267	0.0113696726089926	-0.0084044587846819	0.0001292694552356	7.063492746341675e-05	-0.0231513112293697	-0.0192054705582905	0.0003688500993653	0.0005359832116391	0.0349837468014726	-0.006896298771764	0.0012238625402695	4.7558936749433686e-05	-0.0006540002121199	-0.000265000238294	4.277162774528741e-07	7.022512629592977e-08	-1.0889109258727105e-07	-3.0702099085289105e-08	1.1857270044849636e-14	9.4261888824291e-16	0.0003330001599953	-6.89998234739e-05	4.7609756394293614e-09	1.1088910655689541e-07	0.0	0.0	0.0
